timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.08.08-16.58.45,save,426,00:07:06,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-17.58.18,save,3573,00:59:33,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-19.41.13,save,6174,01:42:54,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.08-19.46.32,load,0,00:00:00,,
2014.08.08-23.47.38,load,14466,04:01:06,,
2014.08.08-23.54.10,load,0,00:00:00,,
2014.08.08-23.57.34,load,0,00:00:00,,
2014.08.09-00.49.01,load,3087,00:51:27,ebee3d_39.blend,C:\Art\Ebee3d\ebee3d_39.blend
2014.08.09-00.54.06,save,305,00:05:05,ebee3d_40.blend,C:\Art\Ebee3d\ebee3d_40.blend
2014.08.09-01.53.00,load,0,00:00:00,,
2014.08.09-12.52.00,load,39539,10:58:59,,
2014.08.09-19.50.26,load,0,00:00:00,,
2014.08.10-02.07.36,load,22629,06:17:09,,
2014.08.11-11.32.15,load,0,00:00:00,,
2014.08.11-11.32.21,load,6,00:00:06,ebee3d_40.blend,C:\Art\Ebee3d\ebee3d_40.blend
2014.08.11-12.45.39,load,4398,01:13:18,ebee3d_40.blend,C:\Art\Ebee3d\ebee3d_40.blend
2014.08.11-13.57.33,save,4313,01:11:53,ebee3d_41.blend,C:\Art\Ebee3d\ebee3d_41.blend
2014.08.11-15.13.42,save,4569,01:16:09,ebee3d_41.blend,C:\Art\Ebee3d\ebee3d_41.blend
2014.08.11-15.27.36,save,833,00:13:53,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-15.43.16,save,940,00:15:40,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-15.44.12,save,56,00:00:56,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-15.55.05,save,652,00:10:52,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-15.55.12,load,7,00:00:07,,
2014.08.11-15.55.16,load,4,00:00:04,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-15.55.22,save,6,00:00:06,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-16.14.19,save,1136,00:18:56,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-20.27.32,save,15193,04:13:13,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.11-20.27.40,load,7,00:00:07,,
2014.08.11-23.18.58,load,10278,02:51:18,,
2014.08.11-23.19.48,load,0,00:00:00,,
2014.08.11-23.47.07,load,0,00:00:00,,
2014.08.11-23.56.30,load,0,00:00:00,,
2014.08.12-01.23.48,load,0,00:00:00,,
2014.08.12-01.33.32,load,0,00:00:00,,
2014.08.12-12.54.53,load,0,00:00:00,,
