timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.09.10-14.25.33,save,65,00:01:05,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-14.36.25,save,651,00:10:51,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-14.41.09,save,284,00:04:44,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-14.42.01,save,51,00:00:51,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-16.06.57,save,5096,01:24:56,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-19.51.37,save,13479,03:44:39,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-20.04.53,save,795,00:13:15,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-20.08.16,save,203,00:03:23,monster_05.blend,C:\Art\Biomecha Game\Monster\monster_05.blend
2014.09.10-20.08.20,save,4,00:00:04,monster_06.blend,C:\Art\Biomecha Game\Monster\monster_06.blend
2014.09.10-21.20.21,save,4320,01:12:00,monster_06.blend,C:\Art\Biomecha Game\Monster\monster_06.blend
2014.09.10-23.00.54,save,6033,01:40:33,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.10-23.25.15,save,1460,00:24:20,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.11-15.02.25,load,56230,15:37:10,ebee3d_60.blend,C:\Art\Ebee3d\ebee3d_60.blend
2014.09.11-15.20.10,save,1064,00:17:44,ebee3d_61.blend,C:\Art\Ebee3d\ebee3d_61.blend
2014.09.11-15.30.29,save,618,00:10:18,ebee3d_61.blend,C:\Art\Ebee3d\ebee3d_61.blend
2014.09.12-15.23.56,load,0,00:00:00,,
2014.09.12-15.24.09,load,13,00:00:13,ebee3d_61.blend,C:\Art\Ebee3d\ebee3d_61.blend
2014.09.12-15.32.13,save,483,00:08:03,ebee3d_62.blend,C:\Art\Ebee3d\ebee3d_62.blend
2014.09.12-15.44.38,save,745,00:12:25,ebee3d_62.blend,C:\Art\Ebee3d\ebee3d_62.blend
2014.09.12-20.51.49,load,0,00:00:00,,
2014.09.12-20.52.23,load,34,00:00:34,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.14-16.54.30,load,2,00:00:02,,
2014.09.14-16.58.56,load,266,00:04:26,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.14-17.54.31,load,3335,00:55:35,biomechahighpolydecimated1.blend,C:\Art\Biomecha\Biomecha\biomechahighpolydecimated1.blend
2014.09.14-22.59.58,load,18326,05:05:26,,
2014.09.14-23.01.21,load,83,00:01:23,biomechahighpolydecimated1.blend,C:\Art\Biomecha\Biomecha\biomechahighpolydecimated1.blend
2014.09.15-01.58.18,load,10617,02:56:57,,
2014.09.16-13.36.13,load,41874,11:37:54,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.16-18.20.24,load,17051,04:44:11,,
2014.09.16-18.21.21,load,56,00:00:56,,
2014.09.16-18.32.08,load,647,00:10:47,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.17-12.52.16,load,0,00:00:00,,
2014.09.17-13.37.32,load,2716,00:45:16,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.17-15.43.08,load,0,00:00:00,,
2014.09.17-15.43.34,load,25,00:00:25,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.17-15.47.16,load,222,00:03:42,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.18-00.42.09,load,32093,08:54:53,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.18-16.43.45,load,57695,16:01:35,,
2014.09.18-16.43.52,load,7,00:00:07,monster_07.blend,C:\Art\Biomecha Game\Monster\monster_07.blend
2014.09.18-18.20.44,save,5811,01:36:51,monster_08.blend,C:\Art\Biomecha Game\Monster\monster_08.blend
2014.09.19-13.17.26,load,0,00:00:00,,
2014.09.19-15.00.04,load,6157,01:42:37,monster_08.blend,C:\Art\Biomecha Game\Monster\monster_08.blend
2014.09.19-15.39.58,save,2394,00:39:54,monster_09.blend,C:\Art\Biomecha Game\Monster\monster_09.blend
2014.09.19-15.53.04,save,785,00:13:05,monster_09.blend,C:\Art\Biomecha Game\Monster\monster_09.blend
2014.09.19-16.04.41,save,697,00:11:37,monster_09.blend,C:\Art\Biomecha Game\Monster\monster_09.blend
2014.09.19-16.11.37,save,415,00:06:55,monster_09.blend,C:\Art\Biomecha Game\Monster\monster_09.blend
2014.09.22-11.51.36,load,0,00:00:00,,
2014.09.22-12.25.06,load,2009,00:33:29,,
2014.09.22-17.02.36,load,0,00:00:00,,
2014.09.22-17.38.49,load,2172,00:36:12,ebee3d_62.blend,C:\Art\Ebee3d\ebee3d_62.blend
2014.09.22-19.04.39,save,5150,01:25:50,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.22-19.28.59,save,1459,00:24:19,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.22-19.30.20,save,81,00:01:21,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.22-19.32.03,save,102,00:01:42,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.22-19.34.30,save,147,00:02:27,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.22-19.35.06,save,35,00:00:35,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.22-19.41.13,save,367,00:06:07,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.23-09.53.54,save,51161,14:12:41,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.23-09.53.59,load,4,00:00:04,ebee3d_63.blend,C:\Art\Ebee3d\ebee3d_63.blend
2014.09.23-09.54.05,load,6,00:00:06,monster_09.blend,C:\Art\Biomecha Game\Monster\monster_09.blend
2014.09.23-11.22.38,load,0,00:00:00,,
2014.09.23-11.24.06,load,87,00:01:27,monster_09.blend,C:\Art\Biomecha Game\Monster\monster_09.blend
